Hotel ID,Hotel Name,Review ID,Review Text,Rating,Date,Sentiment,Ghost Review,Business Status
H045,Hotel 45,R00001,Excellent service!,5,05-11-2022,positive,FALSE,inactive
H019,Hotel 19,R00002,Excellent service!,5,28-02-2023,positive,TRUE,active
H006,Hotel 6,R00003,Very clean and comfortable.,5,18-10-2023,positive,TRUE,active
H045,Hotel 45,R00004,Very clean and comfortable.,5,10-08-2023,positive,TRUE,inactive
H042,Hotel 42,R00005,Terrible service!,2,17-03-2022,negative,FALSE,inactive
H030,Hotel 30,R00006,Terrible service!,1,19-02-2022,negative,FALSE,active
H009,Hotel 9,R00007,Room was dirty.,2,09-01-2023,negative,TRUE,active
H027,Hotel 27,R00008,Very clean and comfortable.,4,26-09-2023,positive,FALSE,active
H001,Hotel 1,R00009,Excellent service!,4,15-10-2023,positive,TRUE,active
H012,Hotel 12,R00010,Terrible service!,1,02-11-2022,negative,TRUE,active
H017,Hotel 17,R00011,Terrible service!,1,04-05-2022,negative,TRUE,inactive
H012,Hotel 12,R00012,Excellent service!,5,16-11-2022,positive,FALSE,inactive
H038,Hotel 38,R00013,Very clean and comfortable.,4,26-04-2022,positive,TRUE,inactive
H017,Hotel 17,R00014,Terrible service!,1,24-10-2023,negative,TRUE,inactive
H009,Hotel 9,R00015,Excellent service!,5,28-09-2023,positive,FALSE,active
H041,Hotel 41,R00016,Terrible service!,1,11-09-2023,negative,FALSE,active
H010,Hotel 10,R00017,Highly recommend this place.,5,03-02-2023,positive,TRUE,inactive
H031,Hotel 31,R00018,Highly recommend this place.,4,28-09-2022,positive,FALSE,active
H037,Hotel 37,R00019,Terrible service!,1,14-08-2022,negative,TRUE,active
H017,Hotel 17,R00020,Not worth the price.,1,15-10-2023,negative,TRUE,inactive
H012,Hotel 12,R00021,Excellent service!,4,14-08-2022,positive,FALSE,inactive
H009,Hotel 9,R00022,Terrible service!,1,09-05-2023,negative,TRUE,active
H019,Hotel 19,R00023,It was okay.,3,13-09-2022,neutral,TRUE,active
H022,Hotel 22,R00024,Not worth the price.,1,21-06-2022,negative,FALSE,inactive
H017,Hotel 17,R00025,Excellent service!,4,28-02-2023,positive,FALSE,active
H019,Hotel 19,R00026,Not worth the price.,2,09-11-2022,negative,FALSE,inactive
H033,Hotel 33,R00027,Very clean and comfortable.,4,08-08-2023,positive,TRUE,active
H034,Hotel 34,R00028,Terrible service!,2,07-03-2023,negative,FALSE,inactive
H009,Hotel 9,R00029,It was okay.,3,10-07-2022,neutral,TRUE,active
H035,Hotel 35,R00030,Room was dirty.,1,15-03-2023,negative,TRUE,inactive
H049,Hotel 49,R00031,Highly recommend this place.,4,28-08-2023,positive,FALSE,active
H050,Hotel 50,R00032,Highly recommend this place.,4,22-11-2022,positive,FALSE,active
H034,Hotel 34,R00033,Could be better.,3,30-12-2023,neutral,TRUE,active
H015,Hotel 15,R00034,It was okay.,3,30-12-2022,neutral,TRUE,inactive
H017,Hotel 17,R00035,Average experience.,3,28-12-2023,neutral,TRUE,inactive
H029,Hotel 29,R00036,Highly recommend this place.,4,02-12-2023,positive,FALSE,inactive
H037,Hotel 37,R00037,Terrible service!,1,16-03-2023,negative,TRUE,active
H029,Hotel 29,R00038,Room was dirty.,2,25-02-2023,negative,FALSE,active
H026,Hotel 26,R00039,Highly recommend this place.,4,01-10-2023,positive,FALSE,inactive
H043,Hotel 43,R00040,Excellent service!,4,27-11-2022,positive,TRUE,inactive
H016,Hotel 16,R00041,Room was dirty.,2,28-10-2022,negative,TRUE,active
H046,Hotel 46,R00042,Not worth the price.,2,28-10-2023,negative,TRUE,inactive
H039,Hotel 39,R00043,Excellent service!,4,11-03-2022,positive,TRUE,active
H003,Hotel 3,R00044,Excellent service!,4,24-08-2023,positive,TRUE,active
H040,Hotel 40,R00045,It was okay.,3,12-09-2023,neutral,TRUE,active
H003,Hotel 3,R00046,Terrible service!,2,01-02-2022,negative,TRUE,inactive
H017,Hotel 17,R00047,Terrible service!,2,22-01-2022,negative,TRUE,inactive
H031,Hotel 31,R00048,Terrible service!,2,27-04-2023,negative,TRUE,active
H015,Hotel 15,R00049,Very clean and comfortable.,5,25-09-2023,positive,FALSE,inactive
H003,Hotel 3,R00050,Room was dirty.,2,20-08-2022,negative,FALSE,active
H046,Hotel 46,R00051,Average experience.,3,19-12-2022,neutral,FALSE,active
H027,Hotel 27,R00052,Excellent service!,5,19-08-2023,positive,FALSE,inactive
H014,Hotel 14,R00053,Not worth the price.,2,17-03-2022,negative,FALSE,inactive
H030,Hotel 30,R00054,Terrible service!,2,03-08-2022,negative,FALSE,inactive
H017,Hotel 17,R00055,Very clean and comfortable.,5,10-02-2022,positive,TRUE,active
H011,Hotel 11,R00056,Not worth the price.,2,14-05-2023,negative,FALSE,active
H019,Hotel 19,R00057,It was okay.,3,12-06-2022,neutral,TRUE,inactive
H008,Hotel 8,R00058,Terrible service!,1,09-12-2023,negative,FALSE,active
H037,Hotel 37,R00059,Room was dirty.,1,16-02-2023,negative,FALSE,active
H031,Hotel 31,R00060,Terrible service!,2,02-03-2022,negative,TRUE,inactive
H007,Hotel 7,R00061,Very clean and comfortable.,4,15-01-2022,positive,TRUE,active
H005,Hotel 5,R00062,Room was dirty.,2,06-08-2023,negative,FALSE,inactive
H042,Hotel 42,R00063,Could be better.,3,17-04-2023,neutral,FALSE,inactive
